station,value,pollutant,timestamp,state,city,latitude,longitude,aqi
"Samanpura, Patna - BSPCB",69.0,PM10,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,69.0
"Samanpura, Patna - BSPCB",23.0,CO,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,23.0
"Muradpur, Patna - BSPCB",71.0,PM2.5,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,71.0
"Muradpur, Patna - BSPCB",11.0,SO2,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,11.0
"Muradpur, Patna - BSPCB",44.0,CO,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,44.0
"Govt. High School Shikarpur, Patna - BSPCB",59.0,PM10,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,59.0
"IGSC Planetarium Complex, Patna - BSPCB",59.0,OZONE,29-06-2026 02:00:00,Bihar,Patna,25.5941,85.1376,59.0
"Pusa, Delhi - IITM",79.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,79.0
"JNU, Delhi - DPCC",1.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,1.0
"Alipur, Delhi - DPCC",10.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,10.0
"Narela, Delhi - DPCC",45.0,PM2.5,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,45.0
"Narela, Delhi - DPCC",10.0,SO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,10.0
"Talkatora Garden, Delhi - DPCC",2.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,2.0
"Talkatora Garden, Delhi - DPCC",12.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,12.0
"Commonwealth Sports Complex, Delhi - DPCC",20.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,20.0
"Chandni Chowk, Delhi - IITM",25.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,25.0
"Sirifort, Delhi - CPCB",9.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,9.0
"Sirifort, Delhi - CPCB",8.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,8.0
"DTU, Delhi - CPCB",35.0,PM2.5,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,35.0
"Dr. Karni Singh Shooting Range, Delhi - DPCC",9.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,9.0
"Dr. Karni Singh Shooting Range, Delhi - DPCC",4.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,4.0
"Ashok Vihar, Delhi - DPCC",11.0,NO2,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,11.0
"Ashok Vihar, Delhi - DPCC",35.0,CO,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,35.0
"R K Puram, Delhi - DPCC",5.0,OZONE,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,5.0
"Dwarka-Sector 8, Delhi - DPCC ",6.0,NH3,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,6.0
"IGI Airport (T3), Delhi - IITM",92.0,PM10,29-06-2026 02:00:00,Delhi,Delhi,28.6139,77.209,92.0
