Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,151.025,184.92499999999998,5.0,13.935,18.925,26.845,10.32,1.2375,29.405,0.57,1.1,,,,,20.1675,87.6075,0.3225,137.14249999999998,0.0,0.0,25.375,1011.2,0.01
2023-01-01 01:00:00,152.7,190.975,4.675,13.4975,18.175,26.1825,6.835,1.2575,23.33,0.57,1.1,,,,,19.8625,92.7075,0.64,105.91999999999999,0.0,0.0,25.475,1010.875,0.0175
2023-01-01 02:00:00,163.10000000000002,191.8,4.975,14.0225,19.0,26.92,6.2225,1.9275,6.945,0.57,1.1,,,0.01,,18.545,98.8125,0.5125,182.055,0.0,0.0,25.15,1010.875,0.0
2023-01-01 03:00:00,162.82500000000002,190.775,4.35,13.567499999999999,17.925,26.015,5.195,1.345,12.72,0.57,1.1,,,0.01,,18.8325,98.9375,0.615,47.730000000000004,0.0,0.0,25.8,1010.875,0.005
2023-01-01 04:00:00,154.72500000000002,187.325,5.15,13.705,18.875,26.9425,6.779999999999999,1.05,35.7725,0.57,1.1,,,,,19.23,92.8625,1.205,83.945,0.0,0.0,25.9,1010.875,0.0125
2023-01-01 05:00:00,147.9,182.225,5.475,13.9225,19.425,27.380000000000003,8.942499999999999,0.925,52.8925,0.57,1.1,,,,,19.14,87.5775,1.35,83.035,0.0,0.0,26.425,1011.275,0.02
2023-01-01 06:00:00,143.125,175.325,4.125,13.9675,18.075,26.08,9.45,0.8475,60.885,0.57,1.1,,,,,19.35,85.985,1.5775000000000001,75.3225,0.0,0.0,36.55,1012.1,0.015
2023-01-01 07:00:00,135.6,162.8,4.5,13.99,18.5,26.3475,9.9125,0.8875,57.565,0.57,1.1,,,,,19.825,82.87,1.4025,81.595,0.0,0.0,95.4,1013.15,0.01
2023-01-01 08:00:00,124.75,147.2,4.325,13.69,18.05,26.12,11.8125,0.8200000000000001,73.0175,0.57,1.1,,,,,20.65,77.72,1.7674999999999998,76.61,0.0,0.0,174.725,1014.1,0.015000000000000001
2023-01-01 09:00:00,115.15,144.075,4.825,13.74,18.55,26.5775,8.95,0.8400000000000001,77.57,0.57,1.1,,,,,21.495,73.82000000000001,1.82,79.0275,0.0,0.0,240.225,1014.425,0.0225
